LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
2.29506,2.28071,2.76658,2.40211,2.76584,3.42686,2.93472,3.14843,2.34407,2.00106,3.10573,2.69142,2.88317,2.8029,2.56846,2.8106,2.61247,2.42153,2.53529,2.40282,1.91526,2.0026,2.35366,2.43948,1.93561,1.92049,2.10883,2.06618,2.09705,2.16266,1.82099,1.77809
2.88258,2.65627,2.95946,2.60018,3.23583,3.52121,3.68777,3.47174,2.39612,1.84202,3.74326,3.44213,3.21825,3.17033,3.23676,3.39462,2.99484,2.92042,2.7113,3.02503,2.54256,2.39252,3.00751,3.23969,2.1214,2.21301,2.16912,2.24445,2.66664,2.58106,2.1159,1.93215
2.27631,1.71431,2.71021,2.63297,3.4816,3.5389,3.52608,3.8049,1.88265,1.94196,3.51411,3.39703,2.28192,2.12882,3.02714,3.04129,2.65231,2.56402,2.44116,2.10224,1.90524,1.9088,2.41618,2.35494,1.54039,1.55567,1.78397,1.65603,2.19999,2.19585,1.4395,1.40312
1.91326,1.96926,2.0532,1.81072,2.87094,2.88645,2.94134,2.23023,1.94785,1.7137,2.59515,2.2852,2.68776,2.26613,2.2012,1.98791,2.30319,2.15189,2.26783,2.01842,2.16684,2.02861,2.0914,1.83314,1.80829,1.79926,1.54773,1.5952,1.96115,1.76295,1.51813,1.43094
2.42632,2.28894,2.92038,2.27993,3.55468,4.07069,4.21649,3.50217,1.93428,2.10648,4.05321,3.26803,2.68989,3.20476,2.82875,3.09543,2.7902,2.94896,2.85377,2.76774,2.12832,2.17832,3.16134,3.14761,1.70226,1.64668,1.85186,1.94189,2.50418,2.19651,1.72048,1.54484
2.18798,2.16349,2.05585,2.09452,2.67499,2.69279,2.55769,2.46677,1.91705,1.62118,2.61455,2.4233,2.12355,2.30571,2.17153,2.06946,2.24963,2.14257,2.01008,1.8001,1.82568,1.73299,1.874,1.97959,1.67772,1.71761,1.7163,1.77578,2.03418,1.90388,1.60493,1.47503
2.29278,2.28052,2.41742,2.45267,3.44524,3.66938,2.99867,3.18538,2.02456,1.81073,3.30742,3.13629,2.52752,2.65154,3.09055,3.08149,2.61834,2.61198,2.37465,2.57293,2.14247,2.392,2.90692,2.2859,1.66273,1.70345,1.81172,1.85892,2.25124,2.29242,1.57517,1.44789
2.44627,2.69083,3.12689,2.98904,3.58267,3.40657,2.49924,3.09532,2.03135,2.26994,3.40503,3.56979,3.00139,2.70391,0.725553,0.972631,2.91105,3.02626,2.69282,2.97244,2.2103,2.63349,1.12568,1.13045,2.14164,2.16013,1.90643,2.01403,2.33195,2.42797,2.05342,1.9373
2.32735,2.371,3.10511,2.65645,3.44437,3.82774,3.02374,4.11748,2.28399,2.12422,3.47884,2.67428,2.79281,2.5246,2.60329,2.88933,2.79554,2.66538,2.38073,2.52886,2.13891,2.23717,2.42934,2.55187,1.9718,1.86109,2.10764,2.24672,2.52862,2.28449,1.75188,1.60965
2.13139,2.06805,2.70533,2.40153,3.34537,3.75347,3.31716,3.68747,2.12124,2.1647,3.15576,3.11139,2.51466,2.76441,3.10385,2.79074,2.52573,2.7069,2.56746,2.48517,2.05404,2.19963,2.56827,2.27586,1.91662,1.91971,2.06268,1.96668,2.31277,2.3196,1.79577,1.78629
