LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
23540,23217,14105,12541,7066,6689,8491,10144,15446,13286,33270,32422,12193,11799,5874,6751,24978,22929,18663,21466,10155,9959,14039,14879,15969,15797,19234,18284,23724,24463,13313,13077
25842,26807,11381,11286,6028,5406,7948,11460,13007,12653,30160,30853,11160,10042,5053,5637,20913,21168,17298,16045,7551,8505,13953,13224,17666,17679,19445,17167,21394,25279,14686,13686
24253,24252,14696,12781,6664,6485,7364,9784,12405,13573,31628,31140,12653,10994,5823,5948,22230,23633,18338,18238,9400,9373,15026,14620,15423,16269,19368,17830,22330,23843,13700,11913
20891,24374,10199,8618,5466,5521,6405,7416,12042,9474,28348,26181,9506,9270,5223,5157,19935,19696,17336,17436,7540,8643,12665,12661,13476,15259,18142,15343,20626,22815,12362,13512
27419,28146,12941,12848,6350,5953,7131,9052,14985,13257,31448,31291,10767,10183,5837,5749,24817,24271,19971,21343,9288,9604,13645,13561,19251,19122,18967,19367,24853,26204,15197,13837
17673,19720,9349,8950,4838,4420,5004,6770,9333,7807,23330,22815,8979,8123,3474,3780,16061,16869,15044,14325,7419,6943,9558,9276,12342,12127,14487,13929,18055,17584,10466,9451
24293,25108,11712,11094,5766,5322,7124,8466,13274,10820,31028,29259,10903,9508,4696,4744,21523,21539,18176,18305,7490,8398,12572,13391,15646,15791,16732,15129,21572,22487,11394,11217
23481,25614,13493,12140,6450,6622,6136,9283,14870,12651,30744,31191,11454,11020,5298,6568,23381,23748,19507,20559,9477,10043,15475,15162,18774,17742,18416,17862,20782,23268,12252,12214
21059,22454,11675,11175,5694,5164,7332,9150,12569,10154,25828,26322,10045,9717,5056,5147,19804,18951,16159,15831,7371,8686,11883,11654,15411,15791,16539,15001,20694,20829,11530,12935
24596,27023,10919,9720,6496,6314,8196,10819,13223,11414,31096,31683,12060,11304,4926,5249,21855,21398,15839,17000,8546,8743,12754,13084,15626,16648,19907,17846,19417,21098,11717,11834
25546,30801,13076,13143,6855,6471,10496,11037,15444,11632,32607,32072,11443,9943,5340,6827,23680,23397,21216,20120,10628,10298,13596,13786,18653,19903,22892,21800,26326,26454,13805,13692
